adm_cd,adm_nm,sgis_adm_cd,sgis_adm_nm
1213076500,만덕동,36020640,만덕동
1213078000,쌍봉동,36020650,쌍봉동
1213079000,시전동,36020660,시전동
1213080000,여천동,36020670,여천동
1213081000,주삼동,36020680,주삼동
1213082000,삼일동,36020690,삼일동
1213083000,묘도동,36020700,묘도동
1215025000,승주읍,36030110,승주읍
1215031000,해룡면,36030370,해룡면
1215032000,서면,36030380,서면
1215033000,황전면,36030390,황전면
1215034000,월등면,36030400,월등면
1215035000,주암면,36030310,주암면
1215036000,송광면,36030320,송광면
1215037000,외서면,36030330,외서면
1215038000,낙안면,36030340,낙안면
1215039000,별량면,36030350,별량면
1215040000,상사면,36030360,상사면
1215051500,향동,36030510,향동
1215054000,매곡동,36030540,매곡동
1215055000,삼산동,36030550,삼산동
1215056000,조곡동,36030560,조곡동
1215057000,덕연동,36030570,덕연동
1215058000,풍덕동,36030580,풍덕동
1215059000,남제동,36030590,남제동
1215060000,저전동,36030600,저전동
1215061000,장천동,36030610,장천동
1215062000,중앙동,36030620,중앙동
1215063500,도사동,36030630,도사동
1215066100,왕조1동,36030660,왕조1동
1215066500,왕조2동,36030670,왕조2동
1217025000,남평읍,36040110,남평읍
1217031000,세지면,36040310,세지면
1217032000,왕곡면,36040320,왕곡면
1217033000,반남면,36040330,반남면
1217034000,공산면,36040340,공산면
1217035000,동강면,36040350,동강면
1217036000,다시면,36040360,다시면
1217037000,문평면,36040370,문평면
1217038000,노안면,36040380,노안면
1217039000,금천면,36040390,금천면
1217040000,산포면,36040400,산포면
1217042000,다도면,36040410,다도면
1217043000,봉황면,36040420,봉황면
1217051000,송월동,36040510,송월동
1217052000,영강동,36040520,영강동
1217054000,금남동,36040540,금남동
1217055000,성북동,36040550,성북동
1217058000,영산동,36040580,영산동
1217060000,이창동,36040600,이창동
1217062000,빛가람동,36040610,빛가람동
1219025000,광양읍,36060110,광양읍
1219031000,봉강면,36060310,봉강면
1219032000,옥룡면,36060320,옥룡면
1219033000,옥곡면,36060330,옥곡면
1219034000,진상면,36060340,진상면
1219035000,진월면,36060350,진월면
1219036000,다압면,36060360,다압면
1219051500,골약동,36060510,골약동
1219053000,중마동,36060530,중마동
1219054000,광영동,36060540,광영동
1219055000,금호동,36060560,금호동
1219057000,태인동,36060550,태인동
1221052500,충장동,24010510,충장동
1221054500,동명동,24010540,동명동
1221056000,계림1동,24010560,계림1동
1221057000,계림2동,24010580,계림2동
1221059000,산수1동,24010590,산수1동
1221060000,산수2동,24010610,산수2동
1221062000,지산1동,24010620,지산1동
1221063000,지산2동,24010630,지산2동
1221065500,서남동,24010640,서남동
1221068500,학동,24010680,학동
1221071000,학운동,24010710,학운동
1221073000,지원1동,24010720,지원1동
1221074000,지원2동,24010730,지원2동
1224057500,양동,24020510,양동
1224059000,양3동,24020530,양3동
1224065000,농성1동,24020540,농성1동
1224066000,농성2동,24020550,농성2동
1224073000,광천동,24020560,광천동
1224074000,유덕동,24020570,유덕동
1224074500,치평동,24020660,치평동
1224075100,상무1동,24020580,상무1동
1224075200,상무2동,24020590,상무2동
1224076000,화정1동,24020600,화정1동
1224077000,화정2동,24020610,화정2동
1224078000,화정3동,24020620,화정3동
1224079000,화정4동,24020630,화정4동
1224080000,서창동,24020640,서창동
1224082100,금호1동,24020680,금호1동
1224082400,금호2동,24020690,금호2동
1224083000,풍암동,24020670,풍암동
1224084000,동천동,24020700,동천동
1227051000,양림동,24030510,양림동
1227052000,방림1동,24030520,방림1동
1227053000,방림2동,24030530,방림2동
1227053700,봉선1동,24030680,봉선1동
1227053800,봉선2동,24030690,봉선2동
1227054500,사직동,24030540,사직동
1227060500,월산동,24030570,월산동
1227063000,월산4동,24030600,월산4동
1227064000,월산5동,24030610,월산5동
1227067000,백운1동,24030620,백운1동
1227068000,백운2동,24030630,백운2동
1227069000,주월1동,24030640,주월1동
1227070000,주월2동,24030650,주월2동
1227070500,진월동,24030710,진월동
1227071000,효덕동,24030720,효덕동
1227072000,송암동,24030670,송암동
1227073000,대촌동,24030700,대촌동
1230051000,중흥1동,24040510,중흥1동
1230053500,중흥동,24040831,중흥동
1230055500,중앙동,24040540,중앙동
1230057000,임동,24040550,임동
1230058000,신안동,24040560,신안동
1230059000,용봉동,24040570,용봉동
1230060100,운암1동,24040580,운암1동
1230060200,운암2동,24040590,운암2동
1230060300,운암3동,24040600,운암3동
1230061500,동림동,24040610,동림동
1230062000,우산동,24040620,우산동
1230063500,풍향동,24040630,풍향동
1230065000,문화동,24040640,문화동
1230065600,문흥1동,24040650,문흥1동
1230065700,문흥2동,24040660,문흥2동
1230066100,두암1동,24040670,두암1동
1230066200,두암2동,24040680,두암2동
1230066300,두암3동,24040690,두암3동
1230066600,삼각동,24040700,삼각동
1230066900,일곡동,24040780,일곡동
1230067300,매곡동,24040710,매곡동
1230067600,오치1동,24040720,오치1동
1230067700,오치2동,24040730,오치2동
1230068500,석곡동,24040740,석곡동
1230069500,건국동,24040810,건국동
1230069600,양산동,24040800,양산동
1230069700,신용동,24040820,신용동
1233051500,송정1동,24050511,송정1동
1233052500,송정2동,24050512,송정2동
1233054000,도산동,24050540,도산동
1233055000,신흥동,24050513,신흥동
1233056500,어룡동,24050514,어룡동
1233058000,우산동,24050580,우산동
1233060000,월곡1동,24050590,월곡1동
1233061000,월곡2동,24050600,월곡2동
1233062000,비아동,24050515,비아동
1233062400,첨단1동,24050690,첨단1동
1233062600,첨단2동,24050516,첨단2동
1233063000,신가동,24050740,신가동
1233063500,운남동,24050710,운남동
1233063700,수완동,24050517,수완동
1233064000,하남동,24050630,하남동
1233065000,임곡동,24050518,임곡동
1233066000,동곡동,24050650,동곡동
1233067000,평동,24050660,평동
1233068000,삼도동,24050670,삼도동
1233069000,본량동,24050519,본량동
1233070000,신창동,24050521,신창동
1271025000,담양읍,36510110,담양읍
1271031000,봉산면,36510310,봉산면
1271032000,고서면,36510320,고서면
1271033500,가사문학면,36510420,가사문학면
1271034000,창평면,36510340,창평면
1271035000,대덕면,36510350,대덕면
1271036000,무정면,36510360,무정면
1271037000,금성면,36510370,금성면
1271038000,용면,36510380,용면
1271039000,월산면,36510390,월산면
1271040000,수북면,36510400,수북면
1271041000,대전면,36510410,대전면
1272025000,곡성읍,36520110,곡성읍
1272031000,오곡면,36520310,오곡면
1272032000,삼기면,36520320,삼기면
1272033000,석곡면,36520330,석곡면
1272034000,목사동면,36520340,목사동면
1272035000,죽곡면,36520350,죽곡면
1272036000,고달면,36520360,고달면
1272037000,옥과면,36520370,옥과면
1272038000,입면,36520380,입면
1272039000,겸면,36520390,겸면
1272040000,오산면,36520400,오산면
1273025000,구례읍,36530110,구례읍
1273031000,문척면,36530310,문척면
1273032000,간전면,36530320,간전면
1273033000,토지면,36530330,토지면
1273034000,마산면,36530340,마산면
1273035000,광의면,36530350,광의면
1273036000,용방면,36530360,용방면
1273037000,산동면,36530370,산동면
1274025000,고흥읍,36550110,고흥읍
1274025300,도양읍,36550120,도양읍
1274031000,풍양면,36550310,풍양면
1274032000,도덕면,36550320,도덕면
1274033000,금산면,36550330,금산면
1274034000,도화면,36550340,도화면
1274035000,포두면,36550350,포두면
1274036000,봉래면,36550360,봉래면
1274037000,점암면,36550380,점암면
1274038000,과역면,36550400,과역면
1274039000,남양면,36550410,남양면
1274040000,동강면,36550420,동강면
1274041000,대서면,36550430,대서면
1274042000,두원면,36550440,두원면
1274044000,영남면,36550390,영남면
1274045000,동일면,36550370,동일면
1275025000,보성읍,36560110,보성읍
1275025300,벌교읍,36560120,벌교읍
1275031000,노동면,36560310,노동면
1275032000,미력면,36560320,미력면
1275033000,겸백면,36560330,겸백면
1275034000,율어면,36560340,율어면
1275035000,복내면,36560350,복내면
1275036000,문덕면,36560360,문덕면
1275037000,조성면,36560370,조성면
1275038000,득량면,36560380,득량면
1275039000,회천면,36560390,회천면
1275040000,웅치면,36560400,웅치면
1276025000,화순읍,36570111,화순읍
1276031000,한천면,36570310,한천면
1276032000,춘양면,36570320,춘양면
1276033000,청풍면,36570330,청풍면
1276034000,이양면,36570340,이양면
1276035000,능주면,36570350,능주면
1276036000,도곡면,36570360,도곡면
1276037000,도암면,36570370,도암면
1276038000,이서면,36570380,이서면
1276039500,백아면,36570430,백아면
1276040000,동복면,36570400,동복면
1276041500,사평면,36570440,사평면
1276042000,동면,36570420,동면
1277025000,장흥읍,36580110,장흥읍
1277025300,관산읍,36580120,관산읍
1277025600,대덕읍,36580130,대덕읍
1277031000,용산면,36580310,용산면
1277032000,안양면,36580320,안양면
1277033000,장동면,36580330,장동면
1277034000,장평면,36580340,장평면
1277035000,유치면,36580350,유치면
1277036000,부산면,36580360,부산면
1277037000,회진면,36580370,회진면
1278025000,강진읍,36590110,강진읍
1278031000,군동면,36590310,군동면
1278032000,칠량면,36590320,칠량면
1278033000,대구면,36590330,대구면
1278034000,도암면,36590350,도암면
1278035000,신전면,36590360,신전면
1278036000,성전면,36590370,성전면
1278037000,작천면,36590380,작천면
1278038000,병영면,36590390,병영면
1278039000,옴천면,36590400,옴천면
1278040000,마량면,36590340,마량면
1279025000,해남읍,36600110,해남읍
1279031000,삼산면,36600310,삼산면
1279032000,화산면,36600320,화산면
1279033000,현산면,36600330,현산면
1279034000,송지면,36600340,송지면
1279035000,북평면,36600350,북평면
1279036000,북일면,36600360,북일면
1279037000,옥천면,36600370,옥천면
1279038000,계곡면,36600380,계곡면
1279039000,마산면,36600390,마산면
1279040000,황산면,36600400,황산면
1279041000,산이면,36600410,산이면
1279042000,문내면,36600420,문내면
